"","day","temp","dewp","wdsp","NUM_CRIME"
"309",4,65.6,56.2,10.1,0.47118394951354
"310",5,55.8,46.9,14.1,0.376515959657034
"311",6,46.4,33.8,8.3,-0.380827959195013
"312",7,44,26.4,3.6,-0.191491979482001
"313",1,46.1,28,3.4,-0.475495949051519
"314",2,48.9,33.4,3.5,-1.07055188529241
"315",3,51.7,35.6,8.1,-0.44844795194966
"316",4,49.7,40.6,19.9,-0.353779962093154
"317",5,43.3,26.1,16.4,-0.543115941806166
"318",6,42.3,25.6,7,-0.313207966440366
"319",7,54.1,32.6,8.3,0.0384159958837989
"320",1,53.1,33.8,8.8,0.335943964004246
"321",2,53.1,47.2,12,-0.705403924417319
"322",3,60.1,49.2,17,-0.489019947602449
"323",4,46,29.7,15.8,-0.313207966440366
"324",5,38.2,16.1,10.5,-0.0832999910745659
"325",6,33.6,30.1,10.3,-2.58523972299651
"326",7,21.4,13.2,7.4,-2.69343171140394
"327",1,31,21.6,8.8,-0.93531189978312
"328",2,34.7,27.1,4,-1.51684383747308
"329",3,44.7,32.2,9.3,-1.35455585486193
"330",4,55,46,12.9,-1.76027581138981
"331",5,47.6,42.1,13.8,-1.43569984616751
"332",6,39,29.3,12.3,-0.827119911375684
"333",7,36.8,27.7,6.9,-1.44922384471844
"334",1,42.1,29.7,10.1,-0.718927922968249
"335",2,43.5,35.8,9.6,1.01214389155072
"336",3,36.5,30.1,7.5,-0.0427279954217777
"337",4,34.2,26.9,8.4,-0.123871986727354
"338",5,38.3,31.5,8.9,-0.259111972236648
"339",6,36.3,30.8,7.1,-0.164443982380142
"340",7,38.7,31.2,5.2,-0.434923953398731
"341",1,37.2,33.2,4.4,-0.407875956296872
"342",2,41.9,36.1,9.4,0.187179979944023
"343",3,48.2,39.8,7.8,-0.46197195050059
"344",4,50,37.8,12.2,-0.394351957745943
"345",5,49.1,34.3,8.3,0.308895966902387
"346",6,55.3,49.8,4.2,0.444135952411682
"347",7,59.7,55.1,8,-0.93531189978312
"348",1,56.5,50,14.6,0.268323971249599
"349",2,43.2,35.3,8,0.998619892999788
"350",3,45.1,37.6,11.9,0.0384159958837989
"351",4,34.9,22.9,14.7,0.106035988638446
"352",5,29.8,16.5,11,-0.894739904130331
"353",6,25.3,12.1,10.7,-0.718927922968249
"354",7,37.8,22.2,10.9,-0.353779962093154
"355",1,47.8,39.3,12.8,-0.948835898334049
"356",2,41.6,37,6.9,-0.340255963542225
"357",3,50.6,46.1,10.7,0.457659950962611
"358",4,43.2,33.3,14.3,-0.597211936009884
"360",6,41.6,34.5,9.6,-1.07055188529241
"361",7,41.2,35.4,14.5,-1.2463638664545
"362",1,35.4,27.7,19.4,-2.74752770560766
"363",2,35.5,30.3,12.9,-1.28693586210728
"364",3,30.3,22.9,6.9,-1.5709398316768
"365",4,28.5,20.4,8.4,-1.4762718418203
"367",6,28.6,19.2,9.2,-2.05041874888667
"368",7,28.8,18.7,10.9,-1.48532348128064
"369",1,28.5,17.3,10.5,-1.37768628745092
"370",2,27.5,16.9,8.3,-1.36423163822221
"371",3,31.1,20.3,7,-1.37768628745092
"372",4,38.6,24.3,6.3,-0.301314349153728
"373",5,41.9,34.6,5.8,0.18305302308001
"374",6,40.5,37.2,6.2,-1.05477470596176
"375",7,20.6,13.1,15.6,-1.76787111508366
"376",1,8.3,-0.8,9.8,-2.89806165029571
"377",2,16.2,6.3,14.3,-2.42714892729069
"378",3,9,-0.1,8.2,-1.00095610904691
"379",4,33.9,24.8,8.6,0.0754158292502901
"380",5,41.1,34.5,10.8,0.0619611800215751
"381",6,30.4,20.3,11.2,-1.04132005673305
"382",7,9.6,-3.8,13.6,-2.57515006880655
"383",1,2.8,-10.8,11.5,-2.87115235183828
"384",2,8.1,-5.3,6.4,-1.59296067511036
"385",3,18.8,8.5,2.9,-1.47186883205193
"386",4,21.3,12.6,2.7,-1.2700490936212
"387",5,27.3,18.6,7.6,-0.368587595297303
"388",6,30,19,6.5,-0.0860399614942892
"389",7,29.1,18.3,7.5,-0.718408475243891
"390",1,34.3,25.4,7.2,0.209962321537439
"391",2,33.5,27,14.3,-1.18932119824891
"392",3,29.1,16.6,9.8,-0.799136370616181
"393",4,35.7,26,13.4,0.304144866138444
"394",5,30.5,14.5,9,0.236871619994869
"395",6,39.9,29,8.9,0.18305302308001
"396",7,44.6,39.2,7.6,-0.852954967531041
"398",2,37.1,31.5,9.2,-1.5391420781955
"399",3,37.3,33.6,9.8,-0.624225930642887
"400",4,28.1,16.6,10,-0.785681721387466
"401",5,30.5,20.7,6.3,-0.920228213674615
"402",6,32.3,22.4,7.3,-0.449315490669592
"403",7,39.8,28.6,10.1,-1.49877813050936
"404",1,32.4,23.4,8.9,-2.13114664425896
"405",2,20.4,11.8,11,-2.46751287497683
"406",3,15.2,2.4,11.1,-2.19841989040253
"407",4,15.4,-0.8,7.1,-1.96969085351438
"408",5,21,5.2,10.4,-1.10859330287662
"409",6,11.5,-9,11.8,-1.76787111508366
"410",7,15.8,1.9,8.8,-2.884607001067
"411",1,22.5,17.7,6.9,-2.35987568114711
"412",2,29.2,22.3,3.6,-1.39114093667964
"413",3,30.8,20.9,5.9,-1.1758665490202
"414",4,32.5,21.3,9.5,-0.637680579871602
"415",5,50.2,34.6,20.9,0.627056447627603
"416",6,51.2,30.9,11.8,-0.355132946068588
"417",7,41.5,30.9,9.3,-0.301314349153728
"418",1,36.7,25.5,4.2,-1.20277584747763
"419",2,37.9,24.6,6.1,-1.32386769053606
"420",3,36.4,26.2,19.9,-2.02350945042924
"421",4,34.4,23.8,16.2,-0.395496893754733
"422",5,32.7,15.3,10.1,0.15614372462258
"423",6,38.1,24.4,10.6,-0.503134087584452
"424",7,52.2,36.5,14.4,-1.40459558590835
"425",1,42.1,28.9,14.6,-1.10859330287662
"426",2,29.8,22.8,16.2,1.19215171523363
"427",3,23.2,6.8,7.2,-1.63332462279651
"428",4,31.2,23.5,6.9,-1.51223277973807
"429",5,31.9,19.4,7.2,-0.355132946068588
"430",6,34.6,27.1,8,-0.395496893754733
"431",7,40.8,29.1,8.9,-0.193677155324009
"432",1,52.6,38.9,11.1,0.882694782973186
"433",2,63.2,48,12.2,-0.0725853122655742
"434",3,62.1,53.8,9.4,-0.664589878329031
"435",4,50.1,40.1,7.9,-0.166767856866579
"436",5,44.1,33,5.4,0.0619611800215751
"437",6,46.1,37.3,4.3,0.223416970766154
"438",7,48,43.5,7.5,-1.35077698899349
"439",1,46.3,43.6,4.7,-0.597316632185457
"440",2,52.1,45.1,7.4,-0.207131804552724
"441",3,54.7,40.6,19.8,0.223416970766154
"442",4,50,27.3,14.1,0.12923442616515
"443",5,42.9,26.6,9.1,0.842330835287042
